"ID","condition","freq","amplitude","zscore","isMeterRel"
"11","H_syncopated","1.25","0.014336","-0.653171","1"
"11","H_syncopated","1.667","0.028112","-0.428492","0"
"11","H_syncopated","2.083","0.051978","-0.039235","0"
"11","H_syncopated","2.5","0.042053","-0.201114","1"
"11","H_syncopated","2.917","0.048164","-0.101445","0"
"11","H_syncopated","3.333","0.013663","-0.664161","0"
"11","H_syncopated","3.75","0.060214","0.095085","0"
"11","H_syncopated","4.167","0.013053","-0.674106","0"
"11","H_syncopated","4.583","0.001986","-0.854606","0"
"11","H_syncopated","5","0.019668","-0.566221","1"
"12","H_syncopated","0.417","-0.027754","-1.148148","1"
"12","H_syncopated","0.833","0.088718","0.68656","0"
"12","H_syncopated","1.25","0.043283","-0.029154","1"
"12","H_syncopated","1.667","-0.001847","-0.740063","0"
"12","H_syncopated","2.083","0.093322","0.759084","0"
"12","H_syncopated","2.5","0.019668","-0.401151","1"
"12","H_syncopated","2.917","0.084388","0.618346","0"
"12","H_syncopated","3.333","0.00635","-0.610939","0"
"12","H_syncopated","3.75","-0.017706","-0.989883","0"
"12","H_syncopated","4.167","0.006276","-0.612104","0"
"12","H_syncopated","4.583","0.048738","0.056777","0"
"12","H_syncopated","5","0.198169","2.410675","1"
"13","H_syncopated","0.417","0.116768","1.732197","1"
"13","H_syncopated","0.833","0.042536","-0.189111","0"
"13","H_syncopated","1.25","0.057646","0.201963","1"
"13","H_syncopated","1.667","-0.0119","-1.598065","0"
"13","H_syncopated","2.083","0.028825","-0.543989","0"
"13","H_syncopated","2.5","0.012784","-0.959183","1"
"13","H_syncopated","2.917","0.104381","1.411608","0"
"13","H_syncopated","3.333","0.035055","-0.382736","0"
"13","H_syncopated","3.75","0.011731","-0.986442","0"
"13","H_syncopated","4.167","0.046023","-0.098862","0"
"13","H_syncopated","4.583","0.072134","0.576962","0"
"13","H_syncopated","5","0.082129","0.835659","1"
"14","H_syncopated","0.417","0.25117","2.342287","1"
"14","H_syncopated","0.833","0.018","-0.669584","0"
"14","H_syncopated","1.25","0.1372","0.870126","1"
"14","H_syncopated","1.667","0.025739","-0.569622","0"
"14","H_syncopated","2.083","0.052685","-0.221554","0"
"14","H_syncopated","2.5","0.09747","0.356941","1"
"14","H_syncopated","2.917","0.004766","-0.840524","0"
"14","H_syncopated","3.333","0.012751","-0.737389","0"
"14","H_syncopated","3.75","0.030884","-0.503156","0"
"14","H_syncopated","4.167","0.037318","-0.420051","0"
"14","H_syncopated","4.583","0.006645","-0.816257","0"
"14","H_syncopated","5","0.163418","1.208785","1"
"1","L_unsyncopated","0.417","0.085797","0.994296","1"
"1","L_unsyncopated","0.833","-0.013502","-1.273837","0"
"1","L_unsyncopated","1.25","0.107815","1.49722","1"
"1","L_unsyncopated","1.667","0.004966","-0.852007","0"
"1","L_unsyncopated","2.083","0.0619","0.448459","0"
"1","L_unsyncopated","2.5","0.033767","-0.194138","1"
"1","L_unsyncopated","2.917","0.014737","-0.628815","0"
"1","L_unsyncopated","3.333","0.037596","-0.106684","0"
"1","L_unsyncopated","3.75","0.027301","-0.34183","0"
"1","L_unsyncopated","4.167","0.003885","-0.876683","0"
"1","L_unsyncopated","4.583","0.017846","-0.557799","0"
"1","L_unsyncopated","5","0.125091","1.891818","1"
"2","L_unsyncopated","0.417","0.001023","-0.667069","1"
"2","L_unsyncopated","0.833","-0.01048","-0.902858","0"
"2","L_unsyncopated","1.25","0.135874","2.096902","1"
"2","L_unsyncopated","1.667","0.010057","-0.481908","0"
"2","L_unsyncopated","2.083","0.00122","-0.663039","0"
"2","L_unsyncopated","2.5","0.078184","0.914457","1"
"2","L_unsyncopated","2.917","0.02018","-0.274419","0"
"2","L_unsyncopated","3.333","-0.004721","-0.784812","0"
"2","L_unsyncopated","3.75","-0.002062","-0.730317","0"
"2","L_unsyncopated","4.167","0.018921","-0.300226","0"
"2","L_unsyncopated","4.583","0.044367","0.221328","0"
"2","L_unsyncopated","5","0.110263","1.571961","1"
"3","L_unsyncopated","0.417","-0.026076","-1.335891","1"
"3","L_unsyncopated","0.833","-0.00826","-0.876051","0"
"3","L_unsyncopated","1.25","0.078746","1.369674","1"
"3","L_unsyncopated","1.667","0.027092","0.036422","0"
