ID,condition,freq,phase
2,H_syncopated,3.750,1.395802
2,H_syncopated,4.167,0.532999
2,H_syncopated,4.583,1.161171
2,H_syncopated,5.000,-0.664438
3,H_syncopated,0.417,0.543270
3,H_syncopated,0.833,0.442093
3,H_syncopated,1.250,-1.659791
3,H_syncopated,1.667,1.420269
3,H_syncopated,2.083,-0.332504
3,H_syncopated,2.500,-0.758995
3,H_syncopated,2.917,-0.451067
3,H_syncopated,3.333,-0.764576
3,H_syncopated,3.750,-1.680618
3,H_syncopated,4.167,-0.392927
3,H_syncopated,4.583,-0.280069
3,H_syncopated,5.000,-0.403819
4,H_syncopated,0.417,1.674923
4,H_syncopated,0.833,1.123820
4,H_syncopated,1.250,-1.496309
4,H_syncopated,1.667,-0.201015
4,H_syncopated,2.083,-0.709761
4,H_syncopated,2.500,-1.832543
4,H_syncopated,2.917,-0.891869
4,H_syncopated,3.333,-1.117121
4,H_syncopated,3.750,0.150161
4,H_syncopated,4.167,0.654233
4,H_syncopated,4.583,0.266755
4,H_syncopated,5.000,1.294306
5,H_syncopated,0.417,-0.605624
5,H_syncopated,0.833,0.709944
5,H_syncopated,1.250,2.194599
5,H_syncopated,1.667,2.354706
5,H_syncopated,2.083,-2.169077
5,H_syncopated,2.500,-2.194397
5,H_syncopated,2.917,-1.623058
5,H_syncopated,3.333,-1.558499
5,H_syncopated,3.750,-0.196782
5,H_syncopated,4.167,0.502056
5,H_syncopated,4.583,0.407821
5,H_syncopated,5.000,-1.606047
6,H_syncopated,0.417,-0.102532
6,H_syncopated,0.833,1.974355
6,H_syncopated,1.250,-0.658514
6,H_syncopated,1.667,-0.368249
6,H_syncopated,2.083,-1.191857
6,H_syncopated,2.500,2.222635
6,H_syncopated,2.917,-2.277288
6,H_syncopated,3.333,-0.761649
6,H_syncopated,3.750,-1.596124
6,H_syncopated,4.167,0.556876
6,H_syncopated,4.583,0.227930
6,H_syncopated,5.000,-0.118840
7,H_syncopated,0.417,0.416019
7,H_syncopated,0.833,1.317711
7,H_syncopated,1.250,-1.391005
7,H_syncopated,1.667,-2.260314
7,H_syncopated,2.083,-1.781187
7,H_syncopated,2.500,-1.677187
7,H_syncopated,2.917,-1.144916
7,H_syncopated,3.333,-1.479053
7,H_syncopated,3.750,-2.057515
7,H_syncopated,4.167,0.778400
7,H_syncopated,4.583,0.002182
7,H_syncopated,5.000,-0.969891
8,H_syncopated,0.417,0.839630
8,H_syncopated,0.833,1.053236
