"ID","condition","binshift","freq","r"
"1","H_unsyncopated","-5","3.333","0.452664"
"1","H_unsyncopated","-5","3.75","0.549944"
"1","H_unsyncopated","-5","4.167","0.430241"
"1","H_unsyncopated","-5","4.583","0.244331"
"1","H_unsyncopated","-5","5","0.507036"
"1","H_unsyncopated","-4","0.417","0.605372"
"1","H_unsyncopated","-4","0.833","0.627127"
"1","H_unsyncopated","-4","1.25","0.558593"
"1","H_unsyncopated","-4","1.667","0.135943"
"1","H_unsyncopated","-4","2.083","0.481131"
"1","H_unsyncopated","-4","2.5","0.465326"
"1","H_unsyncopated","-4","2.917","0.273849"
"1","H_unsyncopated","-4","3.333","0.428682"
"1","H_unsyncopated","-4","3.75","0.468236"
"1","H_unsyncopated","-4","4.167","0.52523"
"1","H_unsyncopated","-4","4.583","0.265656"
"1","H_unsyncopated","-4","5","0.546381"
"1","H_unsyncopated","-3","0.417","0.620272"
"1","H_unsyncopated","-3","0.833","0.351261"
"1","H_unsyncopated","-3","1.25","0.431758"
"1","H_unsyncopated","-3","1.667","0.523649"
"1","H_unsyncopated","-3","2.083","0.246491"
"1","H_unsyncopated","-3","2.5","0.516063"
"1","H_unsyncopated","-3","2.917","0.383137"
"1","H_unsyncopated","-3","3.333","0.431736"
"1","H_unsyncopated","-3","3.75","0.126605"
"1","H_unsyncopated","-3","4.167","0.363075"
"1","H_unsyncopated","-3","4.583","0.330076"
"1","H_unsyncopated","-3","5","0.334973"
"1","H_unsyncopated","-2","0.417","0.219225"
"1","H_unsyncopated","-2","0.833","0.119925"
"1","H_unsyncopated","-2","1.25","0.320947"
"1","H_unsyncopated","-2","1.667","0.420998"
"1","H_unsyncopated","-2","2.083","0.405287"
"1","H_unsyncopated","-2","2.5","0.105417"
"1","H_unsyncopated","-2","2.917","0.401765"
"1","H_unsyncopated","-2","3.333","0.13447"
"1","H_unsyncopated","-2","3.75","0.469139"
"1","H_unsyncopated","-2","4.167","0.411183"
"1","H_unsyncopated","-2","4.583","0.382836"
"1","H_unsyncopated","-2","5","0.564054"
"1","H_unsyncopated","-1","0.417","0.247775"
"1","H_unsyncopated","-1","0.833","0.516883"
"1","H_unsyncopated","-1","1.25","0.253086"
"1","H_unsyncopated","-1","1.667","0.138712"
"1","H_unsyncopated","-1","2.083","0.036219"
"1","H_unsyncopated","-1","2.5","0.436061"
"1","H_unsyncopated","-1","2.917","0.483406"
"1","H_unsyncopated","-1","3.333","0.161867"
"1","H_unsyncopated","-1","3.75","0.38488"
"1","H_unsyncopated","-1","4.167","0.41301"
"1","H_unsyncopated","-1","4.583","0.338426"
"1","H_unsyncopated","-1","5","0.346004"
"1","H_unsyncopated","1","0.417","0.449508"
"1","H_unsyncopated","1","0.833","0.398487"
"1","H_unsyncopated","1","1.25","0.489775"
"1","H_unsyncopated","1","1.667","0.214175"
"1","H_unsyncopated","1","2.083","0.58757"
"1","H_unsyncopated","1","2.5","0.792913"
"1","H_unsyncopated","1","2.917","0.523071"
"1","H_unsyncopated","1","3.333","0.221504"
"1","H_unsyncopated","1","3.75","0.666298"
"1","H_unsyncopated","1","4.167","0.325119"
"1","H_unsyncopated","1","4.583","0.229435"
"1","H_unsyncopated","1","5","0.490358"
"1","H_unsyncopated","2","0.417","0.522798"
"1","H_unsyncopated","2","0.833","0.365314"
